head,URL,Cuisines,PhoneNumber,AverageCost
The Pizza Bakery - Brew & Eatery,https://www.zomato.com/bangalore/the-pizza-bakery-brew-eatery-indiranagar-bangalore,"Pizza, Pasta, Italian, Continental, Fast Food, Salad, Desserts, Beverages",9.16E+11,800
Momoz,https://www.zomato.com/bangalore/momoz-jeevan-bhima-nagar-bangalore,"Chinese, Momos, Burger",9.20E+11,200
The Dessert Zone,https://www.zomato.com/bangalore/the-dessert-zone-domlur-bangalore,"Desserts, Bakery",9.18E+11,200
Nando's,https://www.zomato.com/bangalore/nandos-indiranagar,"Fast Food, Burger, Portuguese",9.19E+11,800
Chef Bakers,https://www.zomato.com/bangalore/chef-bakers-5-marathahalli-bangalore,"Bakery, Fast Food, Pizza, Sandwich, Burger, Desserts",9.20E+11,400
Bhartiya Jalpan,https://www.zomato.com/bangalore/bhartiya-jalpan-indiranagar,"North Indian, Street Food, Desserts, Beverages",9.20E+11,350
Mainland China,https://www.zomato.com/bangalore/mainland-china-church-street,"Chinese, Asian, Seafood, Beverages",9.19E+11,1800
Hyderabad Chefs,https://www.zomato.com/bangalore/hyderabad-chefs-marathahalli,"Andhra, North Indian, Chinese, Biryani",9.18E+11,650
Toscano,https://www.zomato.com/bangalore/toscano-church-street-bangalore,"Italian, Pizza, Salad, Continental, Desserts, Beverages",9.19E+11,1200
Tomba Kitchens,https://www.zomato.com/bangalore/tomba-kitchens-ejipura-bangalore,"Naga, Chinese, Beverages",9.20E+11,300
NH8,https://www.zomato.com/bangalore/nh8-indiranagar,"Rajasthani, North Indian",9.20E+11,800
Chaatimes,https://www.zomato.com/bangalore/chaatimes-indiranagar-bangalore,Street Food,9.19E+11,100
Chichaba's Taj,https://www.zomato.com/bangalore/chichabas-taj-frazer-town,"North Indian, Chinese, Desserts",9.18E+11,800
Lo! - Low Carb and Keto Foods,https://www.zomato.com/bangalore/lo-low-carb-and-keto-foods-domlur-bangalore,"Healthy Food, North Indian, Fast Food, Desserts",9.20E+11,150
Sweet Truth - Cake and Desserts,https://www.zomato.com/bangalore/sweet-truth-cake-and-desserts-indiranagar-bangalore,Bakery,9.18E+11,250
Restaurant Chef Pillai,https://www.zomato.com/bangalore/restaurant-chef-pillai-whitefield-bangalore,"South Indian, Seafood, Biryani",9.19E+11,800
